销售日期,单品编码,销售单价(元/千克),销售类型,是否打折销售,打折/原价的计数总量,销量(千克)
2020-07-01,102900005115762,6.0,1,0,11,6.841
2020-07-01,102900005115779,8.0,1,0,114,41.966
2020-07-01,102900005115786,6.0,1,0,24,11.352
2020-07-01,102900005115793,16.0,1,0,11,4.288
2020-07-01,102900005115823,10.0,1,0,28,11.475999999999999
2020-07-01,102900005115908,8.0,1,0,20,8.959
2020-07-01,102900005115946,7.0,1,0,9,3.039
2020-07-01,102900005115960,3.2,1,0,16,14.748
2020-07-01,102900005115984,6.0,1,0,71,32.579
2020-07-01,102900005116226,8.0,1,0,9,2.844
2020-07-01,102900005116233,10.0,1,0,17,2.512
2020-07-01,102900005116257,6.0,1,0,32,17.661
2020-07-01,102900005116509,4.0,1,0,28,17.713
2020-07-01,102900005116530,16.0,1,1,1,0.195
2020-07-01,102900005116530,18.0,1,0,39,7.498
2020-07-01,102900005116547,6.0,1,0,34,13.863
2020-07-01,102900005116714,14.0,0,0,1,-0.436
2020-07-01,102900005116714,14.0,1,0,78,34.99
2020-07-01,102900005116790,8.0,1,0,7,4.837
2020-07-01,102900005116912,14.0,1,0,6,1.138
2020-07-01,102900005116943,18.0,1,0,11,2.129
2020-07-01,102900005117056,7.6,1,0,137,54.548
2020-07-01,102900005117209,16.0,1,0,5,1.909
2020-07-01,102900005118817,14.0,1,0,14,5.4719999999999995
2020-07-01,102900005118824,10.0,1,0,13,4.119
2020-07-01,102900005118831,6.4,1,1,1,1.0
2020-07-01,102900005118831,6.9,1,0,9,9.0
2020-07-01,102900005119944,16.0,1,0,3,0.783
2020-07-01,102900005119975,4.0,1,1,31,12.685
2020-07-01,102900005119975,6.0,1,0,27,9.717
2020-07-01,102900005123880,12.0,1,0,3,0.927
2020-07-01,102900005125808,25.8,1,0,45,4.383
2020-07-01,102900005125815,10.0,1,0,37,11.888
2020-07-01,102900011001219,14.0,1,0,7,1.953
2020-07-01,102900011006948,16.0,1,0,9,2.623
2020-07-01,102900011008522,8.0,1,0,32,18.271
2020-07-01,102900011009970,9.0,1,0,24,12.086
2020-07-01,102900051000944,39.8,1,0,2,0.7310000000000001
2020-07-01,102900051004294,14.0,1,0,25,5.51
2020-07-01,102900051010455,9.0,1,0,11,6.5489999999999995
2020-07-02,102900005115762,6.0,1,0,14,8.112
2020-07-02,102900005115779,3.4,1,1,1,0.464
2020-07-02,102900005115779,8.0,1,0,110,44.409
2020-07-02,102900005115786,6.0,1,0,24,11.556000000000001
2020-07-02,102900005115793,16.0,1,0,9,4.55
2020-07-02,102900005115823,10.0,1,0,17,6.806
2020-07-02,102900005115908,8.0,1,0,35,14.275
2020-07-02,102900005115946,7.0,1,0,7,3.124
2020-07-02,102900005115960,0.7,1,1,1,0.535
2020-07-02,102900005115960,3.2,1,0,12,10.693
2020-07-02,102900005115984,6.0,1,0,64,27.056
2020-07-02,102900005116226,8.0,1,0,7,1.6669999999999998
2020-07-02,102900005116233,10.0,1,0,14,3.2969999999999997
2020-07-02,102900005116257,7.0,1,0,26,14.432
2020-07-02,102900005116509,4.0,1,0,30,17.767
2020-07-02,102900005116530,19.8,1,0,69,17.345
2020-07-02,102900005116547,6.0,1,0,43,17.208000000000002
