销售日期,单品编码,销量(千克),每日平均销售单价(元/千克),打折数量,原价数量
2020-07-01,102900005115762,6.841,6.0,0,11
2020-07-01,102900005115779,41.966,8.0,0,114
2020-07-01,102900005115786,11.352,6.0,0,24
2020-07-01,102900005115793,4.288,16.0,0,11
2020-07-01,102900005115823,11.476,10.0,0,28
2020-07-01,102900005115908,8.959,8.0,0,20
2020-07-01,102900005115946,3.039,7.0,0,9
2020-07-01,102900005115960,14.748,3.2,0,16
2020-07-01,102900005115984,32.579,6.0,0,71
2020-07-01,102900005116226,2.844,8.0,0,9
2020-07-01,102900005116233,2.512,10.0,0,17
2020-07-01,102900005116257,17.661,6.0,0,32
2020-07-01,102900005116509,17.713,4.0,0,28
2020-07-01,102900005116530,7.6930000000000005,17.0,1,39
2020-07-01,102900005116547,13.863,6.0,0,34
2020-07-01,102900005116714,34.99,14.0,0,78
2020-07-01,102900005116790,4.837,8.0,0,7
2020-07-01,102900005116912,1.138,14.0,0,6
2020-07-01,102900005116943,2.129,18.0,0,11
2020-07-01,102900005117056,54.548,7.6,0,137
2020-07-01,102900005117209,1.909,16.0,0,5
2020-07-01,102900005118817,5.472,14.0,0,14
2020-07-01,102900005118824,4.119,10.0,0,13
2020-07-01,102900005118831,10.0,6.65,1,9
2020-07-01,102900005119944,0.783,16.0,0,3
2020-07-01,102900005119975,22.402,5.0,31,27
2020-07-01,102900005123880,0.927,12.0,0,3
2020-07-01,102900005125808,4.383,25.8,0,45
2020-07-01,102900005125815,11.888,10.0,0,37
2020-07-01,102900011001219,1.953,14.0,0,7
2020-07-01,102900011006948,2.623,16.0,0,9
2020-07-01,102900011008522,18.271,8.0,0,32
2020-07-01,102900011009970,12.086,9.0,0,24
2020-07-01,102900051000944,0.7310000000000001,39.8,0,2
2020-07-01,102900051004294,5.51,14.0,0,25
2020-07-01,102900051010455,6.549,9.0,0,11
2020-07-02,102900005115762,8.112,6.0,0,14
2020-07-02,102900005115779,44.873,5.7,1,110
2020-07-02,102900005115786,11.556,6.0,0,24
2020-07-02,102900005115793,4.55,16.0,0,9
2020-07-02,102900005115823,6.806,10.0,0,17
2020-07-02,102900005115908,14.275,8.0,0,35
2020-07-02,102900005115946,3.124,7.0,0,7
2020-07-02,102900005115960,11.228,1.9500000000000002,1,12
2020-07-02,102900005115984,27.056,6.0,0,64
2020-07-02,102900005116226,1.6669999999999998,8.0,0,7
2020-07-02,102900005116233,3.297,10.0,0,14
2020-07-02,102900005116257,14.432,7.0,0,26
2020-07-02,102900005116509,17.767,4.0,0,30
