销售年月,单品编码,销量(千克),打折数量,原价数量
2020-07,102900005115762,143.737,19,259
2020-07,102900005115779,958.715,178,2431
2020-07,102900005115786,483.748,102,994
2020-07,102900005115793,185.14600000000002,25,386
2020-07,102900005115816,4.875,0,15
2020-07,102900005115823,452.999,60,1029
2020-07,102900005115861,0.538,0,1
2020-07,102900005115908,414.37,68,941
2020-07,102900005115946,108.114,19,253
2020-07,102900005115960,505.871,50,535
2020-07,102900005115984,936.219,203,2064
2020-07,102900005116219,2.263,2,11
2020-07,102900005116226,96.727,15,274
2020-07,102900005116233,117.55,37,507
2020-07,102900005116257,576.073,82,982
2020-07,102900005116509,491.192,56,693
2020-07,102900005116530,461.084,199,1993
2020-07,102900005116547,475.794,65,1065
2020-07,102900005116714,832.019,138,1717
2020-07,102900005116790,48.158,2,70
2020-07,102900005116837,0.424,0,1
2020-07,102900005116899,214.399,50,417
2020-07,102900005116912,47.807,16,233
2020-07,102900005116943,59.678,18,380
2020-07,102900005117056,1083.702,227,2838
2020-07,102900005117209,32.928,9,99
2020-07,102900005118817,5.472,0,14
2020-07,102900005118824,82.326,27,236
2020-07,102900005118831,399.0,78,317
2020-07,102900005119944,52.936,21,212
2020-07,102900005119975,686.352,285,1447
2020-07,102900005123880,34.558,9,90
2020-07,102900005125808,96.584,50,1002
2020-07,102900005125815,394.026,98,1145
2020-07,102900011000328,489.161,105,1335
2020-07,102900011001219,39.676,10,118
2020-07,102900011001561,20.0,2,12
2020-07,102900011001806,64.0,6,58
2020-07,102900011001813,28.0,2,26
2020-07,102900011006689,55.09,10,139
2020-07,102900011006948,26.751,2,74
2020-07,102900011008522,685.824,93,990
2020-07,102900011009444,298.286,54,484
2020-07,102900011009970,691.561,109,1248
2020-07,102900011011546,7.0,4,3
2020-07,102900051000944,15.530999999999999,4,44
2020-07,102900051004294,148.363,32,671
2020-07,102900051010455,499.731,69,908
2020-07,106956146480197,84.0,5,79
2020-07,106956146480203,4.0,0,4
2020-08,102900005115762,236.18,21,453
2020-08,102900005115779,905.914,3,2458
