销售年月,单品编码,销量(千克),打折数量,原价数量
2020Q3,102900005115250,1.6660000000000001,0,7
2020Q3,102900005115762,519.025,41,1019
2020Q3,102900005115779,2721.587,181,7117
2020Q3,102900005115786,1127.659,133,2418
2020Q3,102900005115793,534.029,28,1181
2020Q3,102900005115816,4.875,0,15
2020Q3,102900005115823,1684.7350000000001,195,3706
2020Q3,102900005115861,57.263000000000005,3,144
2020Q3,102900005115878,81.742,2,212
2020Q3,102900005115885,5.324000000000001,2,14
2020Q3,102900005115908,1339.486,201,2949
2020Q3,102900005115946,227.946,19,568
2020Q3,102900005115960,1664.884,51,1704
2020Q3,102900005115984,2000.46,219,4682
2020Q3,102900005116219,16.434,2,83
2020Q3,102900005116226,258.308,15,735
2020Q3,102900005116233,396.137,40,1609
2020Q3,102900005116257,1395.92,85,2563
2020Q3,102900005116509,988.225,59,1501
2020Q3,102900005116530,1251.079,203,5699
2020Q3,102900005116547,1185.513,65,2749
2020Q3,102900005116714,2535.076,275,5535
2020Q3,102900005116790,451.77,2,700
2020Q3,102900005116837,65.236,0,286
2020Q3,102900005116899,1692.601,91,2938
2020Q3,102900005116912,125.371,18,616
2020Q3,102900005116943,143.83,18,957
2020Q3,102900005117056,4161.617,230,10956
2020Q3,102900005117209,62.612,9,195
2020Q3,102900005118817,81.498,8,206
2020Q3,102900005118824,163.258,27,524
2020Q3,102900005118831,906.0,92,810
2020Q3,102900005119098,16.419,19,49
2020Q3,102900005119944,162.907,21,706
2020Q3,102900005119968,8.052,0,40
2020Q3,102900005119975,1553.874,320,3567
2020Q3,102900005123880,73.04,10,199
2020Q3,102900005125808,269.531,52,2768
2020Q3,102900005125815,968.384,110,2962
2020Q3,102900011000175,91.272,6,247
2020Q3,102900011000328,1110.405,107,3192
2020Q3,102900011001219,89.604,11,260
2020Q3,102900011001561,75.0,2,38
2020Q3,102900011001691,10.155000000000001,2,26
2020Q3,102900011001806,223.0,6,217
2020Q3,102900011001813,271.0,2,269
2020Q3,102900011006689,153.062,13,387
2020Q3,102900011006948,62.371,4,172
2020Q3,102900011007044,1.0,0,1
2020Q3,102900011007464,1.83,0,14
2020Q3,102900011007969,4.147,0,18
2020Q3,102900011008164,244.86,0,596
2020Q3,102900011008522,1789.716,101,2322
2020Q3,102900011009246,30.852,0,141
2020Q3,102900011009444,592.825,55,1065
2020Q3,102900011009970,2073.228,114,4002
2020Q3,102900011010563,1.2149999999999999,0,7
2020Q3,102900011010891,2.6670000000000003,0,5
2020Q3,102900011011546,191.0,4,187
2020Q3,102900011012871,0.4819999999999999,1,2
2020Q3,102900011012994,26.0,0,26
2020Q3,102900011013274,118.0,0,118
2020Q3,102900011016701,13.668,0,36
2020Q3,102900011016909,7.818,0,18
2020Q3,102900051000463,191.848,0,315
2020Q3,102900051000944,50.539,4,175
2020Q3,102900051004294,412.879,35,2018
2020Q3,102900051009336,5.677,0,49
2020Q3,102900051010455,2228.411,72,4033
2020Q3,106956146480197,250.0,6,244
2020Q3,106956146480203,4.0,0,4
2020Q4,102900005115168,32.775999999999996,0,78
2020Q4,102900005115199,6.176,2,39
2020Q4,102900005115250,164.246,0,630
2020Q4,102900005115748,32.705,0,79
2020Q4,102900005115779,1454.055,0,3805
2020Q4,102900005115786,23.4,0,47
2020Q4,102900005115793,113.826,3,271
2020Q4,102900005115823,561.628,0,1225
2020Q4,102900005115854,89.927,0,176
2020Q4,102900005115861,2020.769,24,4351
2020Q4,102900005115878,997.182,33,2487
2020Q4,102900005115885,122.086,0,324
2020Q4,102900005115908,597.355,57,1238
2020Q4,102900005115946,14.754999999999999,0,44
2020Q4,102900005115960,7787.111,0,5695
2020Q4,102900005115977,45.578,0,165
2020Q4,102900005115984,1088.486,1,2487
2020Q4,102900005116226,129.065,0,433
2020Q4,102900005116233,315.573,0,1265
2020Q4,102900005116257,843.27,0,1787
2020Q4,102900005116509,254.084,0,478
2020Q4,102900005116530,1723.763,104,6442
2020Q4,102900005116547,1231.179,0,3002
2020Q4,102900005116714,2920.697,75,6004
2020Q4,102900005116790,634.871,0,1021
2020Q4,102900005116837,879.115,5,2451
2020Q4,102900005116899,3509.505,489,4749
2020Q4,102900005116912,40.808,0,209
2020Q4,102900005116943,82.568,0,556
2020Q4,102900005117056,3602.141,0,9478
2020Q4,102900005117209,56.877,0,176
2020Q4,102900005118572,15.501,0,38
2020Q4,102900005118817,1155.211,40,3212
2020Q4,102900005118824,21.922,0,71
2020Q4,102900005118831,766.0,1,765
2020Q4,102900005119098,94.782,81,246
2020Q4,102900005119944,59.783,0,255
2020Q4,102900005119975,3.856,0,10
2020Q4,102900005122654,397.957,3,864
2020Q4,102900005123880,52.76,0,180
2020Q4,102900005125808,176.093,0,1703
2020Q4,102900005125815,293.483,0,960
2020Q4,102900011000328,379.862,1,1260
2020Q4,102900011000571,43.313,2,97
