单品编码,销量(千克),打折数量,原价数量
102900005115168,899.837,0,2087
102900005115199,333.485,245,1290
102900005115250,2813.715,53,11347
102900005115625,121.02,0,306
102900005115748,718.676,0,1305
102900005115762,5102.658,101,10191
102900005115779,15915.422,1685,38192
102900005115786,7246.958,216,15956
102900005115793,1709.163,41,3925
102900005115816,18.428,0,42
102900005115823,7608.386,226,16415
102900005115854,415.325,0,820
102900005115861,3840.204,28,7988
102900005115878,4113.244,145,9974
102900005115885,941.188,56,2420
102900005115908,4498.148,294,9938
102900005115946,1567.465,209,3656
102900005115960,19196.094,282,14892
102900005115977,85.048,0,391
102900005115984,10309.079,700,22557
102900005116219,439.567,2,1867
102900005116226,1187.429,16,3533
102900005116233,3459.754,43,12599
102900005116257,13608.976,1001,26444
102900005116509,3519.011,64,5934
102900005116530,11929.1,4323,43152
102900005116547,4699.9,67,11211
102900005116639,94.56700000000001,30,282
102900005116714,27555.945,2421,56448
102900005116790,2918.477,304,4500
102900005116806,101.125,0,240
102900005116837,2543.4900000000002,94,6788
102900005116899,27166.459,4138,35125
102900005116905,1.817,0,5
102900005116912,375.222,20,1804
102900005116943,659.161,20,4289
102900005117056,9707.027,525,24805
102900005117209,263.192,12,849
102900005117353,22.0,0,22
102900005118572,596.697,10,1242
102900005118817,5218.388,51,14146
102900005118824,1179.956,135,3423
102900005118831,9002.0,630,8346
102900005119098,628.043,324,2156
102900005119104,102.0,3,99
102900005119944,502.504,23,2181
102900005119968,128.5,0,631
102900005119975,5161.229,478,12603
102900005122654,4962.956,103,8628
102900005123880,212.043,11,662
102900005125808,1447.586,58,13274
102900005125815,2405.2980000000002,123,7457
102900005128748,1.784,2,9
102900011000175,91.272,6,247
102900011000328,7794.899,273,22399
102900011000335,7.658,0,14
102900011000571,675.221,2,1315
102900011000632,13.251,0,24
102900011000861,27.805,0,247
102900011001219,278.612,12,858
102900011001561,2095.0,3,491
102900011001691,126.422,11,296
102900011001806,1073.0,11,1062
102900011001813,2150.0,51,1936
102900011002414,45.252,0,177
102900011006689,1543.882,14,4146
102900011006948,732.615,4,1584
102900011006955,16.337,0,48
102900011007044,288.0,46,242
102900011007464,30.172,7,227
102900011007471,7.568,9,60
102900011007495,4.232,3,28
102900011007969,100.69,0,352
102900011008133,14.227,0,35
102900011008164,5818.966,88,13259
102900011008485,51.735,8,96
102900011008492,7.48,8,2
102900011008515,12.936,20,43
102900011008522,4689.466,336,5547
102900011008577,3.0,0,3
102900011008676,15.887,10,28
102900011009246,212.171,0,847
102900011009277,1672.013,124,2717
102900011009444,1167.218,55,2354
102900011009772,0.415,0,1
102900011009970,8394.375,632,14637
