单品编码,销量(千克),单品名称,分类编码,分类名称
102900005115168,899.837,牛首生菜,1011010101,花叶类
102900005115199,333.485,四川红香椿,1011010101,花叶类
102900005115250,2813.715,西峡花菇(1),1011010801,食用菌
102900005115625,121.02,本地小毛白菜,1011010101,花叶类
102900005115748,718.676,白菜苔,1011010101,花叶类
102900005115762,5102.658,苋菜,1011010101,花叶类
102900005115779,15915.422,云南生菜,1011010101,花叶类
102900005115786,7246.958,竹叶菜,1011010101,花叶类
102900005115793,1709.163,小白菜,1011010101,花叶类
102900005115816,18.428,南瓜尖,1011010101,花叶类
102900005115823,7608.386,上海青,1011010101,花叶类
102900005115854,415.325,萝卜叶,1011010101,花叶类
102900005115861,3840.204,牛首油菜,1011010101,花叶类
102900005115878,4113.244,茼蒿,1011010101,花叶类
102900005115885,941.188,蔡甸藜蒿,1011010101,花叶类
102900005115908,4498.148,菜心,1011010101,花叶类
102900005115946,1567.465,木耳菜,1011010101,花叶类
102900005115960,19196.094,大白菜,1011010101,花叶类
102900005115977,85.048,豌豆尖,1011010101,花叶类
102900005115984,10309.079,云南油麦菜,1011010101,花叶类
102900005116219,439.567,红尖椒,1011010504,辣椒类
102900005116226,1187.429,青尖椒,1011010504,辣椒类
102900005116233,3459.754,红椒(1),1011010504,辣椒类
102900005116257,13608.976,紫茄子(2),1011010501,茄类
102900005116509,3519.011,青茄子(1),1011010501,茄类
102900005116530,11929.1,西峡香菇(1),1011010801,食用菌
102900005116547,4699.9,金针菇(1),1011010801,食用菌
102900005116639,94.567,马齿苋,1011010101,花叶类
102900005116714,27555.945,西兰花,1011010201,花菜类
102900005116790,2918.477,黄心菜(1),1011010101,花叶类
102900005116806,101.125,黑油菜,1011010101,花叶类
102900005116837,2543.49,平菇,1011010801,食用菌
102900005116899,27166.459,净藕(1),1011010402,水生根茎类
102900005116905,1.817,青杭椒(1),1011010504,辣椒类
102900005116912,375.222,姬菇(1),1011010801,食用菌
102900005116943,659.161,红杭椒,1011010504,辣椒类
102900005117056,9707.027,泡泡椒(精品),1011010504,辣椒类
