,单品编码,单品名称,分类编码,分类名称
0,102900005115168,牛首生菜,1011010101,花叶类
1,102900005115199,四川红香椿,1011010101,花叶类
2,102900005115625,本地小毛白菜,1011010101,花叶类
3,102900005115748,白菜苔,1011010101,花叶类
4,102900005115762,苋菜,1011010101,花叶类
5,102900005115779,云南生菜,1011010101,花叶类
6,102900005115786,竹叶菜,1011010101,花叶类
7,102900005115793,小白菜,1011010101,花叶类
8,102900005115816,南瓜尖,1011010101,花叶类
9,102900005115823,上海青,1011010101,花叶类
10,102900005115854,萝卜叶,1011010101,花叶类
11,102900005115861,牛首油菜,1011010101,花叶类
12,102900005115878,茼蒿,1011010101,花叶类
13,102900005115885,蔡甸藜蒿,1011010101,花叶类
14,102900005115908,菜心,1011010101,花叶类
15,102900005115946,木耳菜,1011010101,花叶类
16,102900005115960,大白菜,1011010101,花叶类
17,102900005115977,豌豆尖,1011010101,花叶类
18,102900005115984,云南油麦菜,1011010101,花叶类
19,102900005116639,马齿苋,1011010101,花叶类
20,102900005116776,本地菠菜,1011010101,花叶类
21,102900005116790,黄心菜(1),1011010101,花叶类
22,102900005116806,黑油菜,1011010101,花叶类
23,102900005118572,本地上海青,1011010101,花叶类
24,102900005118817,菠菜,1011010101,花叶类
25,102900005118831,娃娃菜,1011010101,花叶类
26,102900005119975,红薯尖,1011010101,花叶类
27,102900005122654,枝江红菜苔,1011010101,花叶类
28,102900005128748,黄花菜,1011010101,花叶类
29,102900011000175,快菜,1011010101,花叶类
30,102900011000571,随州泡泡青,1011010101,花叶类
31,102900011002414,田七,1011010101,花叶类
32,102900011006689,东门口小白菜,1011010101,花叶类
33,102900011006948,外地茼蒿,1011010101,花叶类
34,102900011006955,冰草,1011010101,花叶类
35,102900011007464,紫苏,1011010101,花叶类
36,102900011007471,薄荷叶,1011010101,花叶类
37,102900011007495,蒲公英,1011010101,花叶类
38,102900011008133,丝瓜尖,1011010101,花叶类
39,102900011008164,奶白菜,1011010101,花叶类
40,102900011008485,芥菜,1011010101,花叶类
41,102900011008492,大芥兰,1011010101,花叶类
42,102900011008515,面条菜,1011010101,花叶类
43,102900011008522,甜白菜,1011010101,花叶类
44,102900011008676,荠菜,1011010101,花叶类
45,102900011015384,马兰头,1011010101,花叶类
46,102900011015391,甘蓝叶,1011010101,花叶类
47,102900011021644,洪山菜苔,1011010101,花叶类
48,102900011022849,本地黄心油菜,1011010101,花叶类
49,102900011022924,青菜苔,1011010101,花叶类
50,102900011023464,小青菜(1),1011010101,花叶类
51,102900011026502,鲜粽子叶,1011010101,花叶类
52,102900011026618,艾蒿,1011010101,花叶类
53,102900011027462,奶白菜苗,1011010101,花叶类
54,102900011027615,菊花油菜,1011010101,花叶类
55,102900011029688,双沟白菜,1011010101,花叶类
56,102900011030042,枝江红菜苔(份),1011010101,花叶类
57,102900011030059,云南生菜(份),1011010101,花叶类
58,102900011030097,云南油麦菜(份),1011010101,花叶类
59,102900011030103,茼蒿(份),1011010101,花叶类
60,102900011030110,菠菜(份),1011010101,花叶类
61,102900011030134,菜心(份),1011010101,花叶类
62,102900011030141,上海青(份),1011010101,花叶类
63,102900011030158,小青菜(2),1011010101,花叶类
64,102900011030400,洪山菜薹珍品手提袋,1011010101,花叶类
65,102900011030417,洪山菜薹莲藕拼装礼盒,1011010101,花叶类
66,102900011030905,鱼腥草(份),1011010101,花叶类
67,102900011031216,冰草(盒),1011010101,花叶类
68,102900011032176,紫苏(份),1011010101,花叶类
69,102900011032282,襄甜红菜苔(袋),1011010101,花叶类
70,102900011032480,白蒿,1011010101,花叶类
