,单品编码,单品名称,损耗率(%)
0,102900005115168,牛首生菜,4.39
1,102900005115199,四川红香椿,10.46
2,102900005115250,西峡花菇(1),10.8
3,102900005115625,本地小毛白菜,0.18
4,102900005115748,白菜苔,8.78
5,102900005115762,苋菜,18.52
6,102900005115779,云南生菜,15.25
7,102900005115786,竹叶菜,13.62
8,102900005115793,小白菜,7.59
9,102900005115816,南瓜尖,13.46
10,102900005115823,上海青,14.43
11,102900005115854,萝卜叶,5.35
12,102900005115861,牛首油菜,12.17
13,102900005115878,茼蒿,6.27
14,102900005115885,蔡甸藜蒿,0.47
15,102900005115908,菜心,13.7
16,102900005115946,木耳菜,7.61
17,102900005115960,大白菜,22.27
18,102900005115977,豌豆尖,8.36
19,102900005115984,云南油麦菜,12.81
20,102900005116042,藕,15.32
21,102900005116219,红尖椒,6.73
22,102900005116226,青尖椒,6.72
23,102900005116233,红椒(1),11.76
24,102900005116257,紫茄子(2),6.07
25,102900005116509,青茄子(1),5.01
26,102900005116530,西峡香菇(1),13.82
27,102900005116547,金针菇(1),3.43
28,102900005116639,马齿苋,11.78
29,102900005116714,西兰花,9.26
30,102900005116776,本地菠菜,10.46
31,102900005116790,黄心菜(1),10.64
32,102900005116806,黑油菜,0.1
33,102900005116837,平菇,11.6
34,102900005116899,净藕(1),5.54
35,102900005116905,青杭椒(1),0.0
36,102900005116912,姬菇(1),8.99
37,102900005116943,红杭椒,9.99
38,102900005117056,泡泡椒(精品),7.08
39,102900005117209,七彩椒(1),15.98
40,102900005117353,白玉菇(1),9.43
41,102900005118572,本地上海青,11.99
42,102900005118817,菠菜,18.51
43,102900005118824,高瓜(1),29.25
44,102900005118831,娃娃菜,2.48
45,102900005119098,双孢菇,12.78
46,102900005119104,蟹味菇(1),9.24
47,102900005119944,海鲜菇(1),9.89
48,102900005119968,青杭椒(2),9.0
49,102900005119975,红薯尖,8.42
50,102900005122654,枝江红菜苔,11.38
51,102900005123880,灯笼椒(1),16.33
52,102900005125808,小米椒,5.86
53,102900005125815,杏鲍菇(1),5.05
54,102900005128748,黄花菜,16.89
55,102900011000175,快菜,20.38
56,102900011000328,螺丝椒,10.18
57,102900011000335,紫圆茄,0.32
58,102900011000571,随州泡泡青,12.2
59,102900011000632,紫白菜(1),25.53
60,102900011000861,红线椒,7.71
61,102900011001219,红灯笼椒(1),8.93
62,102900011001561,莲蓬(个),12.17
63,102900011001691,菱角,9.61
64,102900011001806,姬菇(包),12.42
65,102900011001813,金针菇(袋)(1),8.85
66,102900011002414,田七,16.95
67,102900011006689,东门口小白菜,27.84
68,102900011006948,外地茼蒿,26.16
69,102900011006955,冰草,15.01
70,102900011007044,银耳(朵),9.14
71,102900011007464,紫苏,12.88
72,102900011007471,薄荷叶,13.28
73,102900011007495,蒲公英,15.92
