support,itemsets
0.9917050691244239,frozenset({'102900005116714'})
0.9419354838709677,frozenset({'102900005116257'})
0.8470046082949308,frozenset({'102900005115823'})
0.8331797235023042,frozenset({'102900051010455'})
0.7788018433179723,frozenset({'102900005116509'})
0.7566820276497696,frozenset({'102900005116530'})
0.7465437788018433,frozenset({'102900005115779'})
0.7207373271889401,frozenset({'102900005115984'})
0.695852534562212,frozenset({'102900005116233'})
0.688479262672811,frozenset({'102900051004294'})
0.6728110599078341,frozenset({'102900005118817'})
0.6552995391705069,frozenset({'102900005115908'})
0.6341013824884792,frozenset({'102900005118831'})
0.6147465437788019,frozenset({'102900005115786'})
0.5852534562211982,frozenset({'102900005115762'})
0.5686635944700461,frozenset({'102900005116226'})
0.5419354838709678,frozenset({'102900005116943'})
0.5391705069124424,frozenset({'102900005125808'})
0.5225806451612903,frozenset({'102900005119975'})
0.5013824884792627,frozenset({'102900005118824'})
0.7907834101382488,frozenset({'102900011000328'})
0.9741935483870968,frozenset({'102900005116899'})
0.6433179723502304,frozenset({'102900011013274'})
0.7023041474654378,frozenset({'102900011008164'})
0.7907834101382488,frozenset({'102900011016701'})
0.9345622119815669,"frozenset({'102900005116714', '102900005116257'})"
0.9271889400921659,"frozenset({'102900005116257', '102900005116899'})"
0.9207373271889401,"frozenset({'102900005116714', '102900005116257', '102900005116899'})"
0.8433179723502304,"frozenset({'102900005116257', '102900005115823'})"
0.840552995391705,"frozenset({'102900005116714', '102900005115823'})"
0.8368663594470046,"frozenset({'102900005115823', '102900005116899'})"
0.8368663594470046,"frozenset({'102900005116714', '102900005115823', '102900005116257'})"
0.8331797235023042,"frozenset({'102900005116257', '102900005115823', '102900005116899'})"
0.8313364055299539,"frozenset({'102900005116714', '102900005115823', '102900005116899'})"
0.8276497695852535,"frozenset({'102900005116714', '102900005116257', '102900005115823', '102900005116899'})"
0.8267281105990784,"frozenset({'102900005116714', '102900051010455'})"
0.776036866359447,"frozenset({'102900005116257', '102900051010455'})"
0.752073732718894,"frozenset({'102900005115823', '102900051010455'})"
0.8119815668202764,"frozenset({'102900051010455', '102900005116899'})"
0.7695852534562212,"frozenset({'102900005116714', '102900005116257', '102900051010455'})"
0.7658986175115208,"frozenset({'102900005116257', '102900051010455', '102900005116899'})"
0.7603686635944701,"frozenset({'102900005116714', '102900005116257', '102900051010455', '102900005116899'})"
0.7483870967741936,"frozenset({'102900005116257', '102900005115823', '102900051010455'})"
0.7456221198156682,"frozenset({'102900005116714', '102900005115823', '102900051010455'})"
0.7419354838709677,"frozenset({'102900051010455', '102900005115823', '102900005116899'})"
0.7419354838709677,"frozenset({'102900005116714', '102900005116257', '102900005115823', '102900051010455'})"
0.7382488479262673,"frozenset({'102900005116257', '102900051010455', '102900005115823', '102900005116899'})"
0.7364055299539171,"frozenset({'102900005116714', '102900051010455', '102900005115823', '102900005116899'})"
0.7327188940092166,"frozenset({'102900005116899', '102900005116714', '102900051010455', '102900005116257', '102900005115823'})"
0.8064516129032258,"frozenset({'102900005116714', '102900051010455', '102900005116899'})"
