,销量(千克),销量(千克),销量(千克),销量(千克),销量(千克),销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克),平均销量(千克)
分类名称,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
销售日期,,,,,,,,,,,,
2020-07-01,4.85,205.40200000000002,47.076,35.374,76.715,35.364999999999995,2.425,12.837625000000001,23.538,17.687,8.523888888888889,7.072999999999999
2020-07-02,4.6,198.362,43.943,32.199,66.06400000000001,48.510000000000005,2.3,12.397625,21.9715,16.0995,6.606400000000001,9.702000000000002
2020-07-03,9.572,191.779,42.076,35.896,64.253,42.442,9.572,11.9861875,21.038,17.948,6.4253,8.4884
2020-07-04,5.439,236.58700000000002,55.662,57.067,81.28200000000001,47.262,2.7195,18.199,27.831,28.5335,8.128200000000001,9.4524
2020-07-05,4.019,223.899,55.474000000000004,61.816,98.496,73.213,4.019,17.223,27.737000000000002,20.605333333333334,9.849599999999999,14.642599999999998
2020-07-06,3.0890000000000004,195.74,42.721000000000004,30.727000000000004,58.682,40.578,3.0890000000000004,13.981428571428571,21.360500000000002,10.242333333333335,5.8682,6.763000000000001
2020-07-07,3.117,175.052,45.749,32.112,42.213,52.56,3.117,11.670133333333332,22.8745,16.056,4.2213,7.508571428571429
2020-07-08,10.605,158.57,45.433,39.67,65.88,43.968,5.3025,9.910625,22.7165,19.835,6.587999999999999,8.793600000000001
2020-07-09,2.106,187.439,41.131,25.921,58.86,37.837,2.106,12.495933333333333,20.5655,8.640333333333333,5.886,7.567400000000001
2020-07-10,9.025,179.833,62.343999999999994,37.86,58.936,41.429,4.5125,11.2395625,31.171999999999997,12.62,7.367,6.904833333333333
2020-07-11,8.928,271.12,76.564,68.277,85.93599999999999,52.238,4.464,18.074666666666666,38.282,34.1385,9.548444444444444,10.4476
2020-07-12,13.994,300.189,71.615,81.706,72.459,55.96,4.664666666666666,20.012600000000003,35.8075,27.235333333333333,7.245900000000001,9.326666666666666
2020-07-13,11.604999999999997,190.832,32.028,44.379,61.24,42.113,5.802499999999998,14.679384615384615,16.014,14.793,6.1240000000000006,8.4226
2020-07-14,9.007,190.599,57.575,34.747,66.745,44.836,4.5035,14.661461538461538,28.7875,11.582333333333333,6.6745,6.405142857142857
2020-07-15,10.238000000000001,218.094,37.962,38.17,73.354,42.196,5.119000000000001,18.1745,18.981,12.723333333333334,7.3354,6.028
2020-07-16,11.354000000000001,215.526,39.45,26.586,72.656,53.685,5.6770000000000005,16.57892307692308,19.725,8.862,7.265600000000001,7.6692857142857145
2020-07-17,10.727,201.67000000000002,44.198,37.251000000000005,61.025000000000006,51.908,5.3635,14.405000000000001,22.099,12.417000000000002,6.102500000000001,7.4154285714285715
2020-07-18,10.418,275.265,61.087999999999994,56.584999999999994,85.051,71.884,5.209,21.174230769230768,30.543999999999997,18.861666666666665,8.5051,10.269142857142857
2020-07-19,11.124000000000002,321.16400000000004,76.351,71.772,103.77600000000001,80.322,5.562000000000001,26.76366666666667,38.1755,23.924000000000003,10.377600000000001,11.474571428571428
2020-07-20,9.548,204.99699999999999,47.431,33.947,67.35,52.617000000000004,4.774,17.08308333333333,23.7155,11.315666666666667,7.4833333333333325,7.516714285714286
2020-07-21,12.744,214.99,49.004999999999995,27.094,56.992999999999995,45.905,4.248,16.537692307692307,24.502499999999998,9.031333333333334,5.699299999999999,6.557857142857143
2020-07-22,11.049999999999999,232.783,53.675,48.247,81.36,66.794,3.683333333333333,17.906384615384614,26.8375,16.082333333333334,9.04,9.542
2020-07-23,30.417,200.441,39.425,44.141999999999996,57.639,56.759,10.139000000000001,15.418538461538462,19.7125,14.713999999999999,5.7639000000000005,8.108428571428572
2020-07-24,11.74,176.325,38.284000000000006,34.97,58.738,49.201,3.9133333333333336,16.029545454545453,19.142000000000003,11.656666666666666,6.5264444444444445,7.028714285714286
2020-07-25,10.424,227.137,57.421,61.874,94.20600000000002,67.013,5.212,17.472076923076923,28.7105,20.624666666666666,9.420600000000002,9.573285714285715
2020-07-26,12.988,250.825,64.119,69.521,102.06099999999999,71.295,4.3293333333333335,19.29423076923077,32.0595,23.173666666666666,11.34011111111111,10.185
2020-07-27,17.265,198.00900000000001,42.876000000000005,36.121,71.402,52.777,5.755,16.50075,21.438000000000002,12.040333333333335,7.1402,6.597125
2020-07-28,13.959,165.44299999999998,34.937,40.34,66.001,47.728,6.9795,12.726384615384614,17.4685,13.446666666666667,6.6001,5.966
2020-07-29,18.597,193.72899999999998,42.22,40.777,82.494,54.315,9.2985,16.14408333333333,21.11,13.592333333333334,8.2494,7.759285714285714
2020-07-30,10.645,201.743,38.198,46.311,68.21900000000001,50.774,5.3225,18.340272727272726,19.099,15.437,6.821900000000001,7.253428571428572
2020-07-31,19.062,197.166,37.549,34.092,41.104,45.587,9.531,15.166615384615385,18.7745,11.363999999999999,4.1104,6.512428571428572
2020-08-01,21.432000000000002,229.89,54.361999999999995,48.80499999999999,66.15599999999999,53.797,10.716000000000001,16.420714285714286,27.180999999999997,16.26833333333333,6.014181818181817,7.685285714285714
2020-08-02,56.154,243.138,49.219,50.893,67.963,54.961,18.718,14.302235294117647,24.6095,16.964333333333332,6.178454545454545,6.870125
2020-08-03,15.555000000000001,207.843,44.426,45.191,86.474,48.575,5.1850000000000005,12.9901875,22.213,15.063666666666668,7.861272727272728,6.071875
2020-08-04,26.208,180.012,44.534000000000006,30.591,73.36500000000001,45.301,8.735999999999999,10.588941176470588,22.267000000000003,10.197000000000001,9.170625000000001,6.471571428571429
2020-08-05,21.451999999999998,244.39499999999998,43.631,49.472,82.229,62.84,7.150666666666666,13.577499999999999,21.8155,16.490666666666666,11.747,8.977142857142857
2020-08-06,19.115,234.77700000000002,40.827,31.596,74.047,48.611000000000004,6.371666666666666,13.810411764705883,20.4135,15.798,6.731545454545454,6.0763750000000005
2020-08-07,25.415,204.941,40.272000000000006,51.799,78.61099999999999,68.17699999999999,6.35375,12.055352941176471,20.136000000000003,17.266333333333332,7.861099999999999,6.19790909090909
2020-08-08,27.461,311.161,58.156000000000006,63.763999999999996,100.292,92.144,6.86525,19.4475625,29.078000000000003,21.254666666666665,12.5365,7.678666666666667
2020-08-09,25.900000000000002,250.58999999999997,54.876,51.834999999999994,73.684,73.07300000000001,8.633333333333335,15.661874999999998,27.438,17.278333333333332,7.368399999999999,7.307300000000001
2020-08-10,30.683,210.292,50.7,47.664,78.905,36.094,7.67075,14.019466666666666,25.35,15.888,8.767222222222223,7.2188
2020-08-11,20.458,216.713,56.278999999999996,33.572,73.292,40.016999999999996,5.1145,14.447533333333332,28.139499999999998,11.190666666666667,7.3292,8.0034
2020-08-12,27.354999999999997,206.877,50.065,36.009,85.166,34.195,6.838749999999999,14.776928571428572,25.0325,12.003,8.5166,5.699166666666667
2020-08-13,19.324,188.208,47.468,31.109,61.767999999999994,35.65,6.441333333333334,12.5472,23.734,10.369666666666667,6.8631111111111105,7.13
2020-08-14,29.991,217.758,58.581999999999994,37.826,76.489,53.795,7.49775,14.5172,29.290999999999997,12.608666666666666,7.6489,5.3795
2020-08-15,25.642,245.136,79.38,43.278999999999996,94.285,58.015,8.547333333333333,17.509714285714285,39.69,14.426333333333332,9.4285,5.8015
2020-08-16,24.454,241.48000000000002,60.230999999999995,48.366,95.285,55.092999999999996,8.151333333333334,18.575384615384618,30.115499999999997,16.122,10.587222222222222,6.121444444444444
2020-08-17,15.916,215.63299999999998,51.749,35.013999999999996,72.953,47.418,5.3053333333333335,16.587153846153846,25.8745,11.671333333333331,8.10588888888889,5.268666666666666
2020-08-18,21.753,225.113,55.92,34.019,76.92,45.716,7.251,17.316384615384614,27.96,11.339666666666666,7.692,5.7145
2020-08-19,17.95,214.173,64.061,30.347,80.919,50.126,5.983333333333333,16.474846153846155,32.0305,10.115666666666668,8.991,5.0126
2020-08-20,22.965999999999998,233.53199999999998,69.58699999999999,37.957,75.953,54.411,7.655333333333332,17.964,34.793499999999995,12.652333333333333,7.5953,4.946454545454546
2020-08-21,34.598,207.076,50.062,29.694,85.19800000000001,50.0,8.6495,15.928923076923077,25.031,9.898,8.5198,5.555555555555555
2020-08-22,42.772,273.081,55.886,30.422,116.801,49.895,14.257333333333333,19.505785714285715,27.943,10.140666666666666,12.97788888888889,5.5438888888888895
