销售日期,水生根茎类,花叶类,花菜类,茄类,辣椒类,食用菌
01/07/2020,4.85,205.402,47.076,35.374,76.715,35.365
02/07/2020,4.6,198.362,43.943,32.199,66.064,48.51
03/07/2020,9.572,191.779,42.076,35.896,64.253,42.442
04/07/2020,5.439,236.587,55.662,57.067,81.282,47.262
05/07/2020,4.019,223.899,55.474,61.816,98.496,73.213
06/07/2020,3.089,195.74,42.721,30.727,58.682,40.578
07/07/2020,3.117,175.052,45.749,32.112,42.213,52.56
08/07/2020,10.605,158.57,45.433,39.67,65.88,43.968
09/07/2020,2.106,187.439,41.131,25.921,58.86,37.837
10/07/2020,9.025,179.833,62.344,37.86,58.936,41.429
11/07/2020,8.928,271.12,76.564,68.277,85.936,52.238
12/07/2020,13.994,300.189,71.615,81.706,72.459,55.96
13/07/2020,11.605,190.832,32.028,44.379,61.24,42.113
14/07/2020,9.007,190.599,57.575,34.747,66.745,44.836
15/07/2020,10.238,218.094,37.962,38.17,73.354,42.196
16/07/2020,11.354,215.526,39.45,26.586,72.656,53.685
17/07/2020,10.727,201.67,44.198,37.251,61.025,51.908
18/07/2020,10.418,275.265,61.088,56.585,85.051,71.884
19/07/2020,11.124,321.164,76.351,71.772,103.776,80.322
20/07/2020,9.548,204.997,47.431,33.947,67.35,52.617
21/07/2020,12.744,214.99,49.005,27.094,56.993,45.905
22/07/2020,11.05,232.783,53.675,48.247,81.36,66.794
23/07/2020,30.417,200.441,39.425,44.142,57.639,56.759
24/07/2020,11.74,176.325,38.284,34.97,58.738,49.201
25/07/2020,10.424,227.137,57.421,61.874,94.206,67.013
26/07/2020,12.988,250.825,64.119,69.521,102.061,71.295
27/07/2020,17.265,198.009,42.876,36.121,71.402,52.777
28/07/2020,13.959,165.443,34.937,40.34,66.001,47.728
29/07/2020,18.597,193.729,42.22,40.777,82.494,54.315
30/07/2020,10.645,201.743,38.198,46.311,68.219,50.774
31/07/2020,19.062,197.166,37.549,34.092,41.104,45.587
01/08/2020,21.432,229.89,54.362,48.805,66.156,53.797
02/08/2020,56.154,243.138,49.219,50.893,67.963,54.961
03/08/2020,15.555,207.843,44.426,45.191,86.474,48.575
04/08/2020,26.208,180.012,44.534,30.591,73.365,45.301
05/08/2020,21.452,244.395,43.631,49.472,82.229,62.84
06/08/2020,19.115,234.777,40.827,31.596,74.047,48.611
07/08/2020,25.415,204.941,40.272,51.799,78.611,68.177
08/08/2020,27.461,311.161,58.156,63.764,100.292,92.144
09/08/2020,25.9,250.59,54.876,51.835,73.684,73.073
10/08/2020,30.683,210.292,50.7,47.664,78.905,36.094
11/08/2020,20.458,216.713,56.279,33.572,73.292,40.017
12/08/2020,27.355,206.877,50.065,36.009,85.166,34.195
13/08/2020,19.324,188.208,47.468,31.109,61.768,35.65
14/08/2020,29.991,217.758,58.582,37.826,76.489,53.795
15/08/2020,25.642,245.136,79.38,43.279,94.285,58.015
16/08/2020,24.454,241.48,60.231,48.366,95.285,55.093
17/08/2020,15.916,215.633,51.749,35.014,72.953,47.418
18/08/2020,21.753,225.113,55.92,34.019,76.92,45.716
19/08/2020,17.95,214.173,64.061,30.347,80.919,50.126
20/08/2020,22.966,233.532,69.587,37.957,75.953,54.411
21/08/2020,34.598,207.076,50.062,29.694,85.198,50
22/08/2020,42.772,273.081,55.886,30.422,116.801,49.895
23/08/2020,46.057,261.552,71.556,47.316,93.714,55.226
24/08/2020,20.305,260.694,41.784,26.874,97.079,39.576
25/08/2020,20.062,343.427,47.761,23.272,107.213,54.488
26/08/2020,18.95,241.686,82.544,30.722,82.32,42.811
27/08/2020,19.487,199.007,92.506,19.129,89.92,50.458
28/08/2020,20.997,195.032,39.93,24.597,156.11,55.659
29/08/2020,65.814,267.031,56.803,30.675,145.627,62.431
30/08/2020,30.005,266.387,80.779,21.641,155.811,73.195
31/08/2020,52.949,224.882,54.722,15.943,117.965,44.776
01/09/2020,47.658,191.655,55.858,26.329,102.504,47.282
02/09/2020,17.941,179.819,38.716,13.873,83.969,51.011
03/09/2020,15.996,193.463,38.893,14.172,87.119,48.163
04/09/2020,16.635,176.316,46.612,20.233,91.579,54.43
05/09/2020,42.554,249.559,57.828,33.731,110.439,62.594
06/09/2020,46.963,276.111,53.202,33.397,126.5,78.472
07/09/2020,38.926,148.221,26.257,17.365,56.473,41.804
08/09/2020,19.127,158.329,33.239,20.623,50.259,32.389
09/09/2020,12.161,131.492,32.73,12.041,39.795,33.45
10/09/2020,14.492,119.919,57.319,16.916,49.321,35.789
11/09/2020,13.364,151.957,31.538,22.019,50.22,48.467
12/09/2020,16.957,231.884,43.337,21.411,74.51,73.173
13/09/2020,18.739,263.345,41.704,28.737,83.723,74.834
14/09/2020,17.361,175.844,64.257,16.134,48.55,31.147
15/09/2020,19.219,156.048,29.878,13.243,49.991,41.578
16/09/2020,18.818,176.949,59.448,15.194,46.895,35.413
17/09/2020,17.437,143.534,32.648,22.924,46.145,39.259
18/09/2020,11.389,154.388,27.705,13.805,48.075,38.541
19/09/2020,39.431,235.874,82.76,30.406,84.269,60.52
20/09/2020,39.551,317.998,53.497,41.474,99.148,50.42
21/09/2020,16.289,212.997,39.191,20.868,56.561,63.529
22/09/2020,37.808,232.243,40.905,25.819,77.009,49.058
23/09/2020,18.629,179.262,31.972,22.515,54.327,56.265
24/09/2020,51.886,162.861,38.952,18.9,50.486,61.336
25/09/2020,22.732,173.781,41.561,26.529,53.938,64.509
26/09/2020,65.744,227.771,86.643,33.517,68.094,94.495
27/09/2020,28.289,199.813,35.964,20.532,54.459,72.522
28/09/2020,11.861,114.933,24.576,18.401,37.41,46.913
29/09/2020,24.135,157.957,28.105,24.719,57.017,45.485
30/09/2020,36.839,177.129,60.771,25.865,53.628,110.358
01/10/2020,55.356,248.415,93.928,32.482,64.092,103.929
02/10/2020,21.931,244.124,67.145,38.762,69.054,89.316
03/10/2020,18.497,298.341,44.493,63.535,84.728,60.052
04/10/2020,19.254,232.776,34.491,43.849,75.21,122.501
05/10/2020,79.752,294.623,92.279,31.128,87.933,126.518
06/10/2020,25.784,287.297,108.157,42.318,81.727,124.059
07/10/2020,52.907,255.378,56.266,29.085,63.151,80.421
08/10/2020,31.952,252.73,49.58,33.49,72.023,328.488
09/10/2020,51.476,162.518,55.845,24.289,51.243,57.258
10/10/2020,22.07,175.163,37.393,26.814,52.511,75.63
11/10/2020,57.223,238.081,60.47,34.726,70.214,163.664
12/10/2020,38.333,170.212,34.815,17.876,48.979,102.385
13/10/2020,50.519,178.246,47.321,23.119,49.116,48.021
14/10/2020,46.207,182.96,48.259,13.742,46.36,73.831
15/10/2020,42.162,190.238,59.624,19.447,45.236,72.91
16/10/2020,58.973,170.77,88.361,20.139,44.67,69.805
17/10/2020,87.12,249.493,109.311,30.556,97.155,115.896
18/10/2020,79.338,226.735,91.597,36.361,88.247,113.125
19/10/2020,40.6,152.709,57.412,20.03,56.69,58.338
20/10/2020,49.434,186.078,30.899,13.777,49.296,45.419
21/10/2020,21.201,168.765,40.555,15.327,48.047,56.114
22/10/2020,35.917,117.235,26.166,14.725,50.037,94.688
23/10/2020,30.801,211.914,23.854,14.427,43.758,115.306
24/10/2020,67.932,282.107,31.113,22.221,77.097,115.39
25/10/2020,71.16,223.397,43.114,30.136,72.537,104.16
26/10/2020,20.666,157.832,22.371,10.797,45.439,62.363
27/10/2020,21.273,154.566,23.305,13.444,45.479,56.508
28/10/2020,32.418,167.542,30.297,12.238,49.395,75.211
29/10/2020,15.828,120.551,24.902,14.436,52.654,81.051
30/10/2020,18.769,148.243,28.939,12.192,46.452,74.23
31/10/2020,79.265,248.102,82.701,16.499,81.292,135.284
01/11/2020,71.332,206.956,69.062,15.407,73.722,127.967
02/11/2020,15.053,144.442,32.726,11.378,54.351,78.321
03/11/2020,15.727,135.067,52.37,10.846,66.834,65.341
04/11/2020,18.183,122.114,67.527,10.702,59.731,195.34
05/11/2020,8.347,146.327,57.354,9.067,45.282,129.089
06/11/2020,13.443,142.586,95.136,7.22,49.287,80.588
07/11/2020,71.413,224.3,121.453,10.878,69.738,122.896
08/11/2020,58.207,209.808,125.591,16.906,78.907,124.492
09/11/2020,14.579,144.911,57.592,10.063,64.616,63.22
10/11/2020,12.103,157.962,25.698,9.574,54.663,64.18
11/11/2020,17.155,150.867,63.25,15.585,65.834,64.522
12/11/2020,15.951,151.144,13.406,15.508,58.851,68.656
13/11/2020,13.766,141.977,60.306,8.044,70.246,67.676
14/11/2020,58.127,207.145,84.001,18.146,71.84,92.793
15/11/2020,45.353,227.231,77.798,18.318,74.078,73.108
16/11/2020,14.45,140.087,48.64,15.672,45.345,54.363
17/11/2020,24.762,222.517,43.621,12.224,43.486,131.979
18/11/2020,19.171,203.322,50.438,15.946,45.407,99.089
19/11/2020,22.977,207.8,77.165,12.808,59.111,90.297
20/11/2020,22.48,244.555,52.701,9.804,53.492,70.888
21/11/2020,95.789,460.646,114.066,25.451,79.774,169.382
22/11/2020,67.538,371.968,119.596,26.933,99.221,160.154
23/11/2020,34.987,294.311,74.623,15.902,59.056,195.788
24/11/2020,44.692,220.189,60.927,13.897,52.157,117.661
25/11/2020,38.697,237.713,37.137,13.199,39.054,95.581
26/11/2020,24.099,282.923,34.766,12.868,48.086,110.276
27/11/2020,23.178,225.596,28.934,13.175,53.116,112.979
28/11/2020,30.289,400.295,79.441,18.759,82.485,187.133
29/11/2020,31.494,287.707,77.335,20.702,66.151,168.218
30/11/2020,18.481,207.353,41.156,18.29,54.214,100.486
01/12/2020,25.029,287.797,25.82,9.271,47.882,99.477
02/12/2020,22.979,213.665,24.46,9.603,48.74,185.141
03/12/2020,35.348,274.097,27.342,12.913,48.795,97.395
04/12/2020,87.25,242.529,27.457,11.517,42.929,110.875
05/12/2020,43.518,306.959,72.116,18.693,50.32,155.115
06/12/2020,93.761,367.129,67.968,18.881,61.77,234.205
07/12/2020,60.127,197.718,29.017,10.537,39.566,91.333
08/12/2020,78.345,183.98,29.686,10.904,38.132,89.028
09/12/2020,39.897,180.673,20.825,9.89,36.059,80.164
10/12/2020,48.448,188.539,20.405,11.411,45.747,89.363
11/12/2020,55.726,212.51,30.644,14.918,44.514,94.153
12/12/2020,71.47,269.619,65.792,11.965,55.182,174.431
13/12/2020,73.578,375.781,78.67,20.845,76.784,197.615
14/12/2020,65.517,197.654,33.376,12.715,48.394,83.089
15/12/2020,51.769,203.808,33.43,10.295,41.066,99.925
16/12/2020,47.282,152.029,26.065,9.313,34.84,74.212
17/12/2020,47.929,167.799,31.098,12.154,33.18,94.652
18/12/2020,63.362,151.08,26.454,19.541,41.801,86.26
19/12/2020,86.825,266.55,60.29,14.524,68.24,154.681
20/12/2020,77.313,276.911,89.851,14.386,64.273,142.972
21/12/2020,48.468,136.041,37.057,12.997,30.846,84.045
22/12/2020,38.698,152.185,27.346,11.079,38.615,76.199
23/12/2020,43.83,143.966,39.823,9.4,41.738,67.604
24/12/2020,61.823,218.533,39.293,9.801,37.463,76.09
25/12/2020,65.984,159.654,33.711,10.328,53.083,148.943
26/12/2020,103.905,285.224,62.717,16.19,52.907,136.159
27/12/2020,93.232,288.755,51.016,11.874,52.745,118.129
28/12/2020,63.262,251.455,33.949,13.266,45.863,69.819
29/12/2020,54.924,223.512,33.714,12.741,28.906,79.647
30/12/2020,75.742,146.39,33.438,16.318,32.167,66.631
31/12/2020,73.305,179.177,23.092,20.725,45.584,120.945
01/01/2021,91.569,224.797,55.985,18.037,67.733,136.338
