Order,SeasonalOrder,分类名称,列名称
"4, 1, 1","2, 0, 1, 12",花叶类,平均销量(千克)
"1, 1, 3","1, 0, 1, 12",花叶类,平均批发价格(元/千克)
"1, 1, 1","0, 0, 1, 12",花叶类,平均销售单价(元/千克)
"1, 1, 1","2, 0, 1, 12",花菜类,平均销量(千克)
"2, 1, 1","1, 0, 1, 12",花菜类,平均批发价格(元/千克)
"0, 1, 1","1, 0, 1, 12",花菜类,平均销售单价(元/千克)
"4, 1, 3","2, 0, 1, 12",水生根茎类,平均销量(千克)
"1, 1, 2","0, 0, 0, 12",水生根茎类,平均批发价格(元/千克)
"3, 0, 3","0, 0, 1, 12",水生根茎类,平均销售单价(元/千克)
"2, 0, 1","0, 0, 1, 12",茄类,平均销量(千克)
"1, 1, 5","1, 0, 0, 12",茄类,平均批发价格(元/千克)
"0, 1, 1","1, 0, 0, 12",茄类,平均销售单价(元/千克)
"2, 1, 1","2, 0, 1, 12",辣椒类,平均销量(千克)
"0, 1, 2","0, 0, 0, 12",辣椒类,平均批发价格(元/千克)
"0, 1, 1","1, 0, 2, 12",辣椒类,平均销售单价(元/千克)
"2, 0, 1","0, 0, 1, 12",食用菌,平均销量(千克)
"3, 1, 5","0, 0, 0, 12",食用菌,平均批发价格(元/千克)
"1, 1, 1","1, 0, 1, 12",食用菌,平均销售单价(元/千克)
