单品编码,单品名称,分类名称,平均销量(千克),平均定价(元/千克),平均批发价(元/千克),损耗率(%),需求弹性系数 (β),补货量基准(千克)
102900005115779,云南生菜,花叶类,2.92075,9.2,5.734999999999999,15.25,-13.272517751482242,3.4463126843657816
102900005115908,菜心,花叶类,2.21925,6.0,4.6075,13.7,-13.272517751482242,2.571552723059096
102900005115946,木耳菜,花叶类,5.933428571428571,5.228571428571429,3.2114285714285713,7.61,-13.272517751482242,6.422154531257248
102900005115984,云南油麦菜,花叶类,1.6993333333333334,7.2,3.8733333333333335,12.81,-13.272517751482242,1.9490002676147877
102900005116257,紫茄子(2),茄类,10.902857142857142,6.0,3.7471428571428573,6.07,-1.0133953000991065,11.60742802390838
102900005116714,西兰花,花菜类,12.557714285714285,12.62857142857143,7.824285714285715,9.26,-2.6811069204345666,13.839226675902893
102900005116899,净藕(1),水生根茎类,6.026285714285714,12.952380952380953,10.745714285714286,5.54,-3.330193209335743,6.379722331447929
102900005118824,高瓜(1),水生根茎类,3.0044285714285714,13.714285714285714,11.540000000000001,29.25,-3.330193209335743,4.246542150429076
102900005118831,娃娃菜,花叶类,10.428571428571429,6.157142857142857,4.731428571428571,2.48,-13.272517751482242,10.693777100667996
102900005119975,红薯尖,花叶类,4.506571428571428,5.371428571428572,3.204285714285714,8.42,-13.272517751482242,4.920912239103984
102900011001691,菱角,水生根茎类,2.037333333333333,14.0,9.173333333333334,9.61,-3.330193209335743,2.253936644909097
102900011013274,白玉菇(袋),食用菌,1.0,5.699999999999999,3.5025,6.57,-5.169579227329942,1.0703200256876806
102900011030059,云南生菜(份),花叶类,32.285714285714285,4.1499999999999995,3.6042857142857145,9.43,-13.272517751482242,35.647249956623924
102900011030097,云南油麦菜(份),花叶类,21.285714285714285,3.9023809523809523,2.8642857142857143,9.43,-13.272517751482242,23.501947980252055
102900011030110,菠菜(份),花叶类,9.8,5.305,4.098000000000001,9.43,-13.272517751482242,10.820359942585847
102900011030929,鲜木耳(份),食用菌,4.0,2.6333333333333333,1.3,9.43,-5.169579227329942,4.4164734459534065
102900011031100,小米椒(份),辣椒类,21.428571428571427,5.526190476190476,2.1357142857142857,9.43,-2.532420935828169,23.65967917475039
102900011031926,虫草花(份),食用菌,2.2857142857142856,3.371428571428571,2.6571428571428575,9.43,-5.169579227329942,2.523699111973375
102900011032022,小皱皮(份),辣椒类,11.285714285714286,2.314285714285714,1.542857142857143,9.43,-2.532420935828169,12.46076436536854
102900011032237,青线椒(份),辣椒类,1.0,4.3,2.83,9.43,-2.532420935828169,1.1041183614883516
102900011032251,螺丝椒(份),辣椒类,11.285714285714286,4.5285714285714285,3.277142857142857,9.43,-2.532420935828169,12.46076436536854
102900011032343,七彩椒(2),辣椒类,1.2169999999999999,19.05277777777778,12.211666666666666,9.43,-2.532420935828169,1.3437120459313237
102900011032732,高瓜(2),水生根茎类,1.1992,15.209999999999999,13.466,9.43,-3.330193209335743,1.3240587390968312
102900011032848,姜蒜小米椒组合装(小份),辣椒类,7.0,4.5738095238095235,2.437142857142857,9.43,-2.532420935828169,7.728828530418461
102900011033982,紫茄子(1),茄类,0.512,9.0,4.34,9.43,-1.0133953000991065,0.5653086010820361
102900011034026,枝江青梗散花,花菜类,6.300750000000001,12.508333333333333,9.355,9.43,-2.6811069204345666,6.956773766147732
102900011034330,双孢菇(盒),食用菌,10.0,4.364285714285715,3.402857142857143,0.2,-5.169579227329942,10.02004008016032
102900011034439,青红杭椒组合装(份),辣椒类,2.142857142857143,5.307142857142857,3.2314285714285718,9.43,-2.532420935828169,2.365967917475039
102900011035078,红椒(2),辣椒类,2.0357142857142856,16.952380952380953,12.897142857142857,9.43,-2.532420935828169,2.247669521601287
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,2.0,4.5,3.21,0.84,-5.169579227329942,2.016942315449778
102900011036686,木耳菜(份),花叶类,1.0,3.3666666666666667,1.5666666666666667,9.43,-13.272517751482242,1.1041183614883516
102900051000944,洪湖藕带,水生根茎类,4.033142857142857,21.666666666666668,18.0,24.05,-3.330193209335743,5.310260509733848
106949711300259,金针菇(盒),食用菌,16.142857142857142,1.7333333333333332,1.4528571428571428,0.45,-5.169579227329942,16.215828370524502
