单品编码,单品名称
102900005115250,西峡花菇(1)
102900005115762,苋菜
102900005115786,竹叶菜
102900005115823,上海青
102900005115908,菜心
102900005115946,木耳菜
102900005116257,紫茄子(2)
102900005116509,青茄子(1)
102900005116714,西兰花
102900005116899,净藕(1)
102900005118817,菠菜
102900005118824,高瓜(1)
102900005118831,娃娃菜
102900005119975,红薯尖
102900011000328,螺丝椒
102900011001691,菱角
102900011006948,外地茼蒿
102900011007969,红莲藕带
102900011008164,奶白菜
102900011016701,芜湖青椒(1)
102900011022764,长线茄
102900011023464,小青菜(1)
102900011030059,云南生菜(份)
102900011030097,云南油麦菜(份)
102900011030110,菠菜(份)
102900011031100,小米椒(份)
102900011031926,虫草花(份)
102900011032022,小皱皮(份)
102900011032237,青线椒(份)
102900011032251,螺丝椒(份)
102900011032343,七彩椒(2)
102900011032848,姜蒜小米椒组合装(小份)
102900011034026,枝江青梗散花
102900011034330,双孢菇(盒)
102900011034439,青红杭椒组合装(份)
102900011035078,红椒(2)
102900011035740,蟹味菇与白玉菇双拼(盒)
102900051000463,圆茄子(2)
102900051000944,洪湖藕带
106949711300259,金针菇(盒)
106971533450003,海鲜菇(包)
102900005115779,云南生菜
102900005115984,云南油麦菜
102900011032732,高瓜(2)
102900011013274,白玉菇(袋)
102900011030929,鲜木耳(份)
102900011018132,野生粉藕
102900011033982,紫茄子(1)
102900011036686,木耳菜(份)
